X,Y,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID
-17581634.9112,2435693.2295,161,PERL,Pearl Harbor National Memorial,2019/08/29 00:00:00+00,HI,PW,need,National Memorial,Lands,Pearl Harbor,2022/01/06 10:44:55+00,WASO,2022/01/06 10:44:55+00,WASO,146f9bdb-9f10-43bd-a733-39a3ff2ec81b
-11044618.6071,4605421.764,162,FOLS,Fort Larned National Historic Site,2010/07/28 00:00:00+00,KS,MW,475845,National Historic Site,Lands,Fort Larned,2022/01/06 10:42:49+00,WASO,2022/01/06 10:42:49+00,WASO,d927c959-008f-4a31-be98-8f2a1010c44c
-12334437.6508,4494732.7134,163,GLCA,Glen Canyon National Recreation Area,2018/10/04 00:00:00+00,UT,IM,23865,National Recreation Area,Lands,Glen Canyon,2022/01/06 10:42:51+00,WASO,2022/01/06 10:42:51+00,WASO,cd16f044-ea05-4647-8125-08b20b718a84
-10034420.8369,3478556.9221,164,JELA,Jean Lafitte National Historical Park and Preserve,2010/06/10 00:00:00+00,LA,SE,560393,National Historical Park and Preserve,Lands,Jean Lafitte,2022/01/06 10:44:19+00,WASO,2022/01/06 10:44:19+00,WASO,28e7a271-5315-4075-a4a4-27cd98b4a078
-8257795.8031,5000067.5838,165,PAGR,Paterson Great Falls National Historical Park,2015/05/11 00:00:00+00,NJ,NE,2053533,National Historical Park,Lands,Paterson Great Falls,2022/01/06 10:45:11+00,WASO,2022/01/06 10:45:11+00,WASO,42944cac-ceff-4614-96ed-1adbb8b54241
-11558484.5766,5423907.9285,166,JECA,Jewel Cave National Monument,2010/07/22 00:00:00+00,SD,MW,1261888,National Monument,Lands,Jewel Cave,2022/01/06 10:44:18+00,WASO,2022/01/06 10:44:18+00,WASO,b792c3a2-6a11-4ff7-ada5-e83b65d9c7c1
-8196403.1614,5310744.3504,167,SARA,Saratoga National Historical Park,2021/03/23 00:00:00+00,NY,NE,964487,National Historical Park,Lands,Saratoga,2022/01/06 10:44:30+00,WASO,2022/01/06 10:44:30+00,WASO,2bc40866-f9d8-46b1-8970-9da5e4165817
-9026658.7558,2991078.0915,168,BICY,Big Cypress National Preserve,2019/09/26 00:00:00+00,FL,SE,302659,National Preserve,Lands,Big Cypress,2022/01/06 10:41:39+00,WASO,2022/01/06 10:41:39+00,WASO,f45ce87d-1064-4ef6-b928-c67793c7b0b0
-17263764.8443,8075321.3154,169,KATM,Katmai National Park,2019/03/21 00:00:00+00,AK,AK,1416045,National Park,Lands,Katmai,2022/01/06 10:44:22+00,WASO,2022/01/06 10:44:22+00,WASO,509c4d01-9226-40c7-b721-3cd3c0fca004
-8577190.1273,4705824.2819,170,LINC,Lincoln Memorial,2011/11/04 00:00:00+00,DC,NC,531835,National Memorial,Lands,Lincoln,2022/01/06 10:44:23+00,WASO,2022/01/06 10:44:23+00,WASO,db6c4eb1-8f2f-4e15-b5b6-41f55fcc84cd
-7917401.8428,5213092.3684,171,JOFI,John Fitzgerald Kennedy National Historic Site,2010/10/28 00:00:00+00,MA,NE,607138,National Historic Site,Lands,John F Kennedy,2022/01/06 10:44:19+00,WASO,2022/01/06 10:44:19+00,WASO,9a8e1fa9-8af6-42a9-a612-6baabad9d27c
-11275374.335,3449598.3836,172,AMIS,Amistad National Recreation Area,2019/07/22 00:00:00+00,TX,IM,1329499,National Recreation Area,Lands,Amistad,2022/01/06 10:41:20+00,WASO,2022/01/06 10:41:20+00,WASO,6dedbaed-c946-448c-8854-8867fa351f87
